"Aa"	"Ab"	"Ac"	"Ad"	"Ae"	"Af"	"ST01"	"SU02"	"D03"	"ST04"	"SU05"	"D06"	"D07"	"SU08"	"ST09"	"SU10"	"D11"	"ST12"	"SU13"	"D14"	"D15"	"SU16"	"ST17"	"SU18"	"D19"	"ST20"	"SU21"	"D22"	"D23"	"SU24"	"ST25"	"SU26"	"D27"	"ST28"	"SU29"	"D30"	"D31"	"SU32"	"Ca"	"Cb"	"Cc"	"Cd"	"Ce"	"Cf"	"Cg"	"Ch"	"Da"	"Db"	"Dc"	"Dd"	"De"	"Df"	"Dg"	"Dh"	"Di"	"Dj"	"age"	"attitude"	"points"	"gender"	"d_sm"	"d_ri"	"d_ue"	"deep"	"st_os"	"st_tm"	"stra"	"su_lp"	"su_um"	"su_sb"	"surf"
"11"	2	2	2	2	2	2	4	2	4	4	4	4	4	2	4	2	4	4	3	4	3	3	3	2	3	3	2	3	4	4	3	2	3	4	2	3	4	4	3	3	4	4	4	3	3	3	3	4	5	4	4	4	4	4	3	4	37	39	31	"M"	14	14	15	43	14	15	29	8	11	13	32
"12"	5	1	2	1	1	1	5	1	4	5	3	4	4	1	5	2	4	4	1	4	4	4	5	1	3	4	2	3	3	4	5	4	5	5	1	3	5	5	3	4	5	3	5	3	4	3	3	4	4	5	4	2	3	5	4	4	34	38	31	"F"	16	14	16	46	20	18	38	8	7	14	29
"13"	4	1	3	1	1	2	5	2	5	4	2	4	5	1	4	2	5	4	2	5	4	1	3	2	4	3	2	4	4	2	4	4	4	2	3	3	4	4	3	5	5	3	4	4	4	3	2	4	3	1	4	1	2	2	1	4	34	24	23	"F"	18	17	16	51	16	13	29	10	9	8	27
"14"	2	1	3	1	1	1	4	4	3	3	2	4	4	2	4	1	2	3	2	4	2	3	4	2	4	2	4	4	2	4	4	4	2	4	3	5	4	2	2	5	2	3	3	4	5	4	2	5	5	2	4	1	3	2	1	5	34	30	25	"F"	11	17	12	40	16	12	28	11	11	11	33
"15"	4	1	1	1	1	1	3	1	5	2	2	4	4	4	2	1	4	1	2	4	4	2	3	2	5	1	2	5	2	2	1	4	3	1	2	5	5	4	3	1	3	4	2	4	2	4	2	2	4	1	2	5	2	3	1	4	35	26	21	"M"	17	18	15	50	9	5	14	8	8	12	28
"16"	1	1	1	1	1	1	5	2	4	4	4	3	3	3	2	2	3	3	4	3	3	2	3	1	3	2	2	3	3	2	3	3	3	3	3	3	3	4	5	3	4	5	5	4	3	5	2	2	4	1	4	2	3	1	1	5	46	25	0	"F"	13	12	12	37	13	12	25	8	13	11	32
"17"	4	2	3	2	1	1	3	2	4	5	2	4	3	2	5	2	4	3	3	4	4	3	2	1	3	4	1	4	4	3	5	4	4	4	2	2	4	3	3	4	4	2	3	2	4	3	4	4	4	5	4	2	4	5	5	4	33	41	31	"F"	15	13	16	44	15	16	31	9	8	11	28
"18"	3	1	1	1	1	1	3	2	5	2	3	4	5	4	1	3	4	1	2	5	3	4	1	3	3	1	1	5	5	3	1	5	2	1	2	4	4	3	3	5	3	3	4	3	5	3	2	4	3	4	3	1	3	1	1	4	32	26	20	"F"	14	19	16	49	6	5	11	13	8	14	35
"19"	3	2	2	1	1	1	4	2	5	4	2	4	4	2	4	2	4	2	3	4	4	3	3	3	4	3	1	2	1	3	3	4	4	3	3	2	4	2	2	4	4	3	2	2	3	4	2	3	4	2	3	2	3	3	2	2	44	26	22	"F"	17	12	13	42	14	12	26	11	9	10	30
"20"	2	1	1	1	1	1	4	3	4	4	4	3	4	4	2	4	4	3	4	4	4	4	3	1	4	2	4	4	5	4	4	5	4	2	4	4	5	4	2	5	4	4	4	4	3	4	1	2	2	2	2	1	2	1	1	3	29	17	9	"M"	16	16	17	49	13	11	24	13	16	16	45
"21"	3	1	2	1	1	1	4	3	5	5	2	4	5	4	4	1	4	4	2	4	4	2	2	2	4	4	2	4	4	3	4	4	4	3	4	4	2	4	4	5	4	4	4	4	5	3	2	4	4	2	4	1	4	1	1	4	30	27	24	"F"	17	17	14	48	14	16	30	10	10	13	33
"22"	4	4	4	4	4	4	3	2	4	3	2	4	4	4	3	2	4	2	1	4	3	2	3	1	4	2	1	4	4	3	3	4	4	2	2	4	4	4	3	4	4	3	4	3	4	4	4	4	4	4	4	3	4	5	3	4	27	39	28	"M"	16	16	15	47	12	9	21	9	6	13	28
"23"	3	2	2	2	1	2	4	2	4	2	3	4	4	4	2	1	4	3	2	4	4	3	2	1	4	2	4	4	4	2	2	2	4	2	2	4	4	3	3	5	4	3	2	4	3	3	3	4	4	3	4	2	3	4	3	4	29	34	30	"M"	16	16	16	48	10	9	19	6	11	12	29
"24"	4	1	2	1	1	1	5	4	5	5	1	3	4	3	4	2	5	3	2	5	4	3	2	3	5	4	3	4	2	3	2	5	4	4	3	3	4	4	2	5	3	4	5	3	5	3	2	4	4	2	3	1	3	2	2	4	31	27	24	"F"	19	16	13	48	13	16	29	14	9	13	36
"25"	3	2	2	1	1	1	4	4	5	3	2	3	4	2	2	1	5	4	2	4	2	2	5	1	4	1	4	5	3	1	1	4	2	2	2	3	4	4	5	5	5	3	5	2	3	4	3	2	4	2	3	1	3	1	1	3	37	23	9	"F"	16	16	12	44	12	10	22	10	10	9	29
"26"	2	2	1	1	1	1	2	2	5	2	2	4	4	4	4	1	4	1	5	4	2	4	2	1	4	1	2	2	4	2	1	5	3	1	2	4	4	4	1	4	2	5	4	2	4	2	2	5	5	5	5	2	4	2	2	5	26	37	26	"F"	16	14	14	44	9	5	14	9	11	14	34
"27"	3	1	2	1	1	1	3	4	5	3	3	5	5	2	4	2	5	3	3	5	2	5	4	2	5	3	1	3	5	5	3	3	5	3	3	3	5	5	3	5	5	3	5	2	3	4	4	5	5	5	5	2	4	5	4	5	26	44	32	"F"	20	16	17	53	14	12	26	11	10	17	38
"28"	2	2	1	1	1	1	5	4	5	4	4	4	4	1	4	4	4	4	3	4	2	4	3	1	4	4	2	4	4	4	5	4	4	3	1	4	4	4	4	5	5	4	4	4	5	4	4	5	5	4	5	2	4	3	4	5	30	41	32	"M"	17	16	14	47	17	15	32	13	10	13	36
"29"	4	2	3	1	2	2	4	4	5	3	1	3	3	2	1	1	4	3	1	4	4	2	2	1	4	1	1	4	3	2	1	5	3	2	3	5	4	3	3	4	3	3	3	3	4	2	1	4	3	3	3	1	3	2	1	3	37	24	0	"F"	16	16	14	46	8	9	17	11	6	9	26
"30"	3	1	2	1	1	1	4	1	5	4	2	4	4	2	4	2	3	2	2	4	3	1	2	1	3	5	3	3	3	2	4	2	4	4	2	4	5	4	4	5	4	3	4	3	3	4	4	4	3	5	4	4	2	1	5	5	33	37	33	"F"	15	15	15	45	14	15	29	6	9	9	24
"31"	2	2	3	2	1	3	3	4	4	3	4	4	3	1	3	3	3	2	4	4	3	4	4	3	4	2	4	3	2	3	4	5	2	2	3	3	4	4	4	4	3	4	5	1	2	5	1	3	3	4	3	1	3	2	2	3	33	25	29	"F"	13	13	13	39	14	9	23	15	15	12	42
"32"	2	4	2	2	1	2	4	4	4	3	3	5	4	2	4	4	5	2	4	4	2	5	5	3	4	2	2	3	4	5	2	5	2	2	3	2	4	5	5	4	5	3	5	4	4	4	4	3	4	2	4	2	4	2	2	3	28	30	30	"M"	15	13	15	43	15	9	24	16	12	17	45
"33"	1	1	1	1	1	1	2	4	5	2	4	5	5	1	4	1	5	1	1	5	5	1	1	4	4	1	5	5	5	1	1	1	5	1	2	5	5	5	5	5	5	5	5	5	5	5	1	5	5	4	5	1	4	3	1	5	26	34	19	"M"	19	20	20	59	8	5	13	10	12	8	30
"34"	4	1	1	1	1	1	5	2	5	2	2	4	4	2	4	1	3	4	2	5	2	1	4	1	4	1	2	4	3	2	4	4	2	2	2	3	4	4	4	5	4	4	4	2	5	4	3	4	4	4	4	1	4	4	2	2	27	32	23	"F"	14	16	13	43	17	9	26	8	8	9	25
"35"	3	2	2	1	2	3	4	1	3	4	2	3	4	2	2	3	3	4	3	4	2	2	3	1	3	3	2	3	3	3	4	5	2	4	2	3	2	3	3	4	3	3	4	2	3	2	2	3	2	1	2	1	2	2	1	4	25	20	19	"F"	11	14	10	35	13	15	28	10	9	10	29
"36"	4	3	1	1	1	1	4	2	4	4	2	4	3	3	3	1	4	3	3	4	4	3	3	1	4	3	3	3	3	3	2	4	3	2	2	4	4	4	3	5	4	2	4	4	4	4	2	4	4	1	2	1	2	2	1	5	31	24	12	"F"	15	14	15	44	12	12	24	8	10	13	31
"37"	2	5	4	5	5	4	4	1	5	4	2	4	5	2	3	1	5	3	1	4	4	1	3	1	4	3	1	4	5	1	4	3	4	2	2	5	5	3	3	5	3	2	3	4	5	3	3	4	5	4	5	3	4	5	4	5	20	42	10	"M"	18	18	18	54	14	12	26	6	6	7	19
"38"	4	4	5	5	5	5	5	1	4	4	1	5	3	3	1	5	5	1	5	5	3	1	1	1	4	1	1	5	2	1	1	5	3	1	5	5	5	5	4	4	2	2	2	2	1	5	1	4	4	1	1	1	1	1	1	1	39	16	11	"F"	16	18	15	49	8	7	15	12	12	10	34
"39"	4	1	2	1	1	1	5	2	4	5	2	4	4	2	4	1	4	4	2	4	4	1	4	1	4	4	2	4	4	2	4	4	4	5	1	3	3	2	2	4	4	4	3	4	4	3	3	4	4	2	4	2	4	2	2	4	38	31	20	"M"	16	15	15	46	17	18	35	8	7	7	22
"40"	3	3	1	1	2	3	4	5	4	5	2	3	5	1	4	2	2	5	4	4	2	1	2	1	3	3	2	3	2	2	2	5	3	4	2	4	4	2	1	4	3	3	4	4	3	2	4	5	5	5	4	1	3	4	2	5	24	38	26	"M"	12	16	11	39	12	17	29	13	10	6	29
"41"	2	3	3	4	1	4	4	4	4	2	2	1	2	2	2	2	2	2	4	4	1	4	2	4	2	3	1	1	2	4	4	5	3	1	2	4	2	5	4	5	2	2	3	2	3	4	4	4	5	4	4	2	3	5	4	3	26	38	31	"M"	11	11	6	28	12	8	20	15	9	15	39
"42"	4	1	2	1	1	2	2	3	4	1	4	4	5	4	1	4	2	2	2	4	5	4	1	4	2	1	1	2	2	4	1	5	2	1	2	4	4	4	2	5	4	5	4	2	4	3	3	5	4	2	4	2	3	3	2	5	25	33	20	"M"	10	15	15	40	5	5	10	16	9	16	41
"43"	4	2	2	1	2	1	4	4	5	5	3	4	4	2	4	3	4	3	4	4	5	2	3	4	5	5	3	3	2	2	5	5	5	3	5	3	5	4	1	4	3	3	4	4	4	5	2	4	2	1	1	1	1	1	1	3	30	17	23	"F"	19	14	16	49	16	16	32	16	15	10	41
"44"	3	2	1	1	1	2	4	2	4	4	4	4	3	4	2	2	2	2	2	4	2	4	4	2	2	2	2	2	2	4	4	4	2	2	4	4	4	4	4	5	3	4	4	3	4	4	2	4	4	1	2	1	3	2	1	5	25	25	12	"F"	10	13	12	35	14	10	24	10	12	16	38
"45"	4	5	5	4	5	5	3	5	3	2	2	4	4	4	2	2	3	2	4	4	3	4	2	3	3	5	1	3	3	5	3	4	3	1	4	4	3	4	4	5	2	4	4	3	4	4	3	4	4	3	4	2	3	3	2	4	30	32	24	"M"	12	15	13	40	10	10	20	14	11	17	42
"46"	2	1	2	1	1	1	5	1	5	5	4	4	5	2	5	1	5	5	4	4	2	1	5	2	5	4	2	4	2	2	5	5	4	5	3	1	5	5	4	5	5	2	5	2	4	5	2	5	5	2	5	1	4	4	2	5	48	35	17	"F"	19	14	13	46	20	19	39	9	13	10	32
"47"	3	1	2	1	1	2	5	4	4	5	2	3	4	1	5	2	4	5	3	4	3	1	5	1	4	5	3	4	3	2	5	4	3	5	3	4	4	3	2	5	5	3	4	3	4	3	4	5	5	2	4	1	4	2	1	4	24	32	29	"F"	15	16	13	44	20	20	40	11	11	7	29
"48"	4	1	1	1	1	1	5	5	5	5	4	5	5	3	4	1	4	5	4	5	4	4	4	2	4	5	4	5	4	4	3	4	5	4	4	5	5	4	3	5	4	4	3	4	4	3	4	5	5	4	5	2	5	3	4	5	40	42	23	"F"	18	20	18	56	16	19	35	12	16	15	43
"49"	2	1	1	1	1	1	5	2	5	2	2	5	5	1	2	1	4	4	4	4	2	1	2	1	1	5	3	5	2	2	4	4	2	2	2	5	5	2	3	5	5	4	4	4	5	4	4	5	4	4	4	1	2	1	1	5	25	31	28	"M"	12	19	14	45	13	13	26	8	11	6	25
"50"	2	1	2	1	1	1	4	3	4	4	4	5	2	1	5	4	4	4	4	3	3	3	4	4	4	3	4	3	4	4	5	5	3	3	4	3	3	5	5	4	4	4	5	3	3	5	4	5	5	4	5	2	4	2	3	5	23	39	31	"F"	15	11	15	41	18	14	32	16	16	13	45
"51"	5	1	2	1	1	1	5	2	4	5	3	5	4	3	2	2	4	1	3	4	4	3	3	1	3	1	2	5	4	4	4	5	4	4	3	5	4	4	3	5	5	3	2	3	3	4	1	2	1	1	1	1	1	5	5	1	25	19	23	"F"	15	18	17	50	14	11	25	10	11	14	35
"52"	4	2	3	2	1	1	2	1	3	2	2	2	1	4	2	2	4	2	2	4	2	2	4	1	1	2	4	2	4	5	4	5	4	2	2	3	5	5	5	3	4	5	5	2	2	5	1	2	2	4	2	1	1	2	1	5	23	21	25	"F"	12	10	13	35	12	8	20	9	10	16	35
"53"	2	1	1	1	1	1	3	5	5	5	2	3	4	3	2	1	4	2	1	4	5	2	3	1	5	5	4	5	2	1	4	2	3	1	3	5	5	4	3	4	3	5	5	5	5	3	1	5	4	3	2	1	2	1	1	5	27	25	18	"M"	17	18	15	50	12	13	25	9	10	10	29
"54"	4	1	2	2	3	2	4	4	4	2	2	4	3	2	4	1	3	2	4	4	4	2	4	3	4	4	1	3	3	4	4	5	3	2	3	4	4	5	1	5	4	2	3	3	3	3	2	4	4	4	4	1	3	3	3	4	25	32	19	"M"	14	14	15	43	16	10	26	13	10	13	36
"55"	4	1	1	1	1	2	4	2	3	2	4	2	4	4	2	1	3	2	4	4	4	5	4	1	3	1	4	1	2	4	1	5	3	1	3	3	2	4	1	4	4	2	4	1	3	4	3	2	2	5	2	3	2	5	4	4	23	32	22	"M"	12	12	10	34	11	6	17	9	15	17	41
"56"	3	2	2	1	1	1	4	4	5	2	2	4	4	2	4	1	4	1	2	4	4	2	4	2	5	2	3	4	2	4	4	5	3	1	3	4	5	5	4	5	4	5	5	3	5	4	1	4	3	4	4	1	1	1	2	5	23	26	25	"F"	17	16	15	48	16	6	22	12	10	13	35
"57"	3	2	1	1	2	2	3	4	4	2	2	3	4	4	1	3	4	3	2	4	3	4	4	2	2	1	3	2	2	4	3	5	3	2	2	2	2	4	2	4	4	4	3	3	4	4	2	3	2	3	3	1	3	2	2	2	23	23	21	"F"	13	12	10	35	11	8	19	14	9	16	39
"58"	4	1	2	1	1	1	4	4	4	4	2	2	5	2	4	2	2	2	4	5	1	2	4	5	4	1	2	5	2	2	4	5	2	2	4	2	2	5	4	5	4	1	5	4	4	4	4	5	5	4	5	1	4	3	2	5	45	38	9	"F"	12	17	7	36	16	9	25	16	12	11	39
"59"	3	1	4	2	1	1	5	1	5	5	2	4	4	1	3	1	5	4	3	5	4	4	3	1	4	4	2	4	3	4	5	4	3	3	1	3	5	4	1	5	5	3	4	3	4	3	4	4	2	3	2	1	2	2	4	4	22	28	28	"F"	17	16	16	49	16	16	32	7	8	13	28
"60"	2	1	2	1	1	1	5	2	4	2	4	3	5	2	4	1	3	5	3	4	2	5	3	1	4	4	2	1	2	5	4	5	2	5	4	1	4	5	5	5	4	5	5	2	3	5	2	2	2	5	3	2	2	5	5	5	23	33	25	"F"	13	11	11	35	16	16	32	9	13	17	39
"61"	4	2	3	3	1	3	2	2	4	1	1	4	3	4	2	1	3	4	3	4	4	3	2	1	2	1	1	4	2	3	5	4	3	1	3	5	4	4	3	5	3	4	4	4	5	2	4	5	5	5	5	4	5	5	5	5	21	48	29	"M"	12	16	14	42	11	7	18	8	8	14	30
"62"	3	1	1	1	1	1	4	2	5	3	1	5	5	1	3	1	3	3	2	4	4	2	3	1	3	3	1	5	3	2	4	3	5	3	1	5	5	4	1	4	3	3	4	2	3	2	4	3	4	5	4	3	4	4	5	4	21	40	33	"M"	16	19	17	52	14	12	26	7	5	9	21
"63"	3	3	2	2	1	1	4	2	5	3	2	4	4	3	4	1	4	4	1	5	4	3	3	2	4	4	2	5	4	3	4	2	3	3	2	4	5	4	3	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	21	40	33	"F"	16	18	17	51	15	14	29	7	7	13	27
"64"	3	1	1	1	1	1	4	1	5	2	2	2	4	4	5	1	4	4	1	5	2	2	4	1	2	3	2	3	4	2	5	4	3	2	1	5	2	4	2	4	4	2	4	2	5	2	5	5	5	4	5	4	5	5	4	5	21	47	25	"F"	14	17	10	41	18	11	29	7	6	12	25
"65"	2	1	1	1	1	2	4	4	5	2	2	2	2	2	2	2	4	2	2	2	2	4	4	2	4	1	1	4	2	4	4	5	4	1	2	2	4	4	2	5	5	4	5	2	5	5	2	3	2	4	2	1	2	2	2	3	26	23	18	"F"	17	10	10	37	14	6	20	13	7	14	34
"66"	1	2	1	1	1	1	4	2	5	2	4	5	5	2	2	1	5	1	4	4	4	3	2	1	4	2	2	4	5	2	1	4	4	1	4	5	5	5	2	5	3	2	5	5	5	2	2	5	5	2	4	1	4	2	1	5	25	31	22	"F"	18	18	19	55	9	6	15	8	14	12	34
"67"	4	2	2	1	2	1	2	2	4	1	2	3	4	2	1	1	2	2	2	4	4	2	2	2	4	2	4	4	1	2	4	4	2	2	2	5	4	4	2	4	4	2	4	4	4	4	2	4	4	2	2	1	2	4	2	4	26	27	17	"F"	12	17	12	41	9	7	16	9	10	10	29
"68"	4	1	2	2	2	2	3	1	4	2	2	2	4	4	3	2	4	1	2	3	3	2	2	1	4	1	1	4	3	2	2	5	3	1	1	3	4	4	3	4	3	3	4	3	5	4	3	4	4	5	4	5	3	5	4	4	21	41	25	"M"	15	14	12	41	10	5	15	9	6	12	27
"69"	5	5	5	5	5	5	5	1	4	4	2	4	4	2	2	2	4	2	2	4	4	4	4	2	4	1	1	4	2	4	2	5	2	1	1	2	4	2	4	5	5	5	5	4	4	5	2	5	5	2	5	1	5	2	2	5	22	34	0	"F"	14	14	14	42	13	8	21	10	6	12	28
"70"	3	2	2	1	1	1	4	2	5	4	4	4	2	2	4	1	4	5	4	4	3	2	4	1	4	3	4	3	2	4	4	3	2	4	3	4	4	4	1	5	4	1	4	4	4	4	2	4	5	3	5	1	4	3	3	4	23	34	28	"F"	15	13	13	41	16	16	32	7	15	12	34
"71"	3	2	1	1	1	2	4	1	4	2	2	4	4	2	3	1	3	4	2	4	3	2	2	1	5	2	3	3	2	2	4	4	4	2	3	3	4	4	3	5	4	3	5	2	4	2	3	4	2	1	3	1	2	3	2	4	22	25	22	"F"	16	14	13	43	13	10	23	7	10	10	27
"72"	1	2	2	1	1	1	1	1	1	4	2	1	2	2	5	3	2	5	1	2	2	3	3	1	1	4	4	2	2	2	5	1	1	4	1	2	1	1	1	1	3	2	2	4	3	1	2	1	1	1	1	5	2	5	2	1	22	21	26	"F"	5	8	6	19	14	17	31	6	8	8	22
"73"	2	1	1	1	1	1	2	4	5	2	2	3	4	4	2	2	4	4	3	4	2	3	4	1	3	1	2	3	2	4	4	4	2	1	2	4	4	4	3	1	2	3	1	3	1	3	1	1	3	1	2	1	1	1	1	2	22	14	11	"F"	14	15	11	40	12	8	20	11	9	15	35
"74"	1	2	3	2	1	1	4	4	5	2	2	4	5	2	2	3	5	2	2	5	4	2	3	3	5	2	4	4	4	2	5	5	3	2	3	4	4	3	2	4	5	2	2	1	5	4	2	4	3	2	1	1	2	1	1	2	23	19	29	"F"	18	18	16	52	14	8	22	15	11	9	35
"75"	2	1	2	1	1	2	5	1	4	4	4	4	5	2	4	2	4	5	1	5	4	2	4	1	4	4	2	4	5	2	5	2	4	5	2	5	5	4	2	5	4	2	4	4	5	4	4	4	4	1	4	3	3	5	4	5	22	37	22	"M"	16	19	18	53	18	18	36	6	9	10	25
"76"	2	5	5	5	5	5	4	2	5	3	2	3	5	1	4	2	5	4	3	5	5	2	5	2	4	4	3	4	4	2	2	5	5	2	3	5	5	5	3	5	4	5	5	3	4	4	4	5	5	2	5	2	4	5	4	5	25	41	0	"M"	19	19	17	55	15	13	28	11	11	10	32
"77"	3	1	1	1	1	1	4	1	5	4	3	5	5	1	4	1	5	3	1	5	5	2	3	1	5	4	4	5	4	4	4	4	4	1	1	5	5	5	1	5	3	1	4	3	5	3	1	4	3	5	3	4	2	4	2	4	23	32	21	"M"	19	20	19	58	15	12	27	7	9	12	28
"78"	4	1	2	1	1	1	4	2	4	2	1	3	2	4	2	1	5	3	3	2	3	2	3	2	3	4	2	3	4	2	1	4	3	2	3	1	4	3	2	5	5	3	4	2	4	3	4	3	4	2	3	2	3	2	2	3	24	28	28	"M"	15	8	14	37	10	11	21	9	9	11	29
"79"	5	2	3	1	1	1	2	5	4	4	3	2	2	1	5	3	4	5	2	3	3	1	4	4	4	5	2	2	2	1	5	5	4	3	2	2	4	4	1	5	4	4	4	3	3	3	4	4	5	5	3	4	4	4	3	5	22	41	33	"F"	16	9	11	36	16	17	33	17	9	7	33
"80"	2	1	1	1	1	1	4	4	4	3	4	5	4	2	2	1	4	4	3	5	4	4	4	2	4	1	3	4	3	4	1	5	4	2	2	3	5	5	5	5	3	3	5	2	4	5	2	5	4	1	4	1	1	1	1	5	23	25	16	"F"	16	16	17	49	11	10	21	12	12	15	39
"81"	5	2	1	1	1	1	4	1	5	2	1	3	5	1	2	1	5	2	1	5	2	3	2	1	2	4	1	4	5	3	1	5	4	1	1	5	4	2	1	5	4	3	3	4	5	4	3	4	3	3	1	1	3	5	2	3	22	28	31	"M"	16	19	14	49	9	9	18	8	4	9	21
"82"	2	5	4	4	5	4	4	1	4	4	2	4	4	2	2	2	4	4	4	3	4	4	3	1	4	2	1	3	3	2	1	5	4	2	2	4	4	5	4	4	2	5	5	3	5	4	3	4	3	4	3	4	3	5	4	5	20	38	22	"M"	16	14	15	45	10	12	22	9	9	13	31
"83"	3	3	3	2	1	3	4	5	4	2	3	3	3	2	4	4	4	3	3	3	2	2	2	4	4	4	2	2	2	5	4	4	4	1	2	3	3	4	3	4	4	4	4	2	3	5	3	4	3	4	3	2	2	3	4	3	22	31	31	"M"	16	11	10	37	14	10	24	17	10	13	40
"84"	4	1	1	1	1	1	3	3	5	1	3	5	5	4	2	3	5	1	3	5	4	1	3	1	5	1	2	5	5	2	1	3	3	1	4	5	5	5	4	5	4	1	2	5	5	4	3	3	5	4	5	1	3	3	3	5	21	35	23	"M"	18	20	19	57	9	4	13	10	12	12	34
"85"	5	1	2	2	1	1	3	2	5	3	2	4	5	4	2	1	5	2	2	4	5	3	2	4	4	1	2	4	3	2	1	4	4	1	2	4	4	2	1	5	4	4	2	5	5	3	3	4	5	3	4	3	4	2	3	5	22	36	26	"F"	18	17	16	51	8	7	15	11	8	11	30
"86"	3	1	1	2	1	1	5	2	5	3	3	5	5	2	4	1	4	3	3	4	3	2	3	1	5	3	3	3	3	2	3	4	3	3	2	5	5	4	4	5	3	3	4	2	5	3	2	3	3	3	2	2	2	4	3	2	23	26	12	"F"	17	17	16	50	15	12	27	8	11	10	29
"87"	3	1	3	1	1	1	5	3	5	5	2	3	5	3	5	3	4	3	1	5	3	3	5	1	5	2	2	5	4	2	2	3	4	3	2	5	5	4	2	5	4	3	3	3	5	5	3	5	5	5	5	3	4	4	5	5	21	44	26	"M"	18	20	15	53	17	13	30	10	7	12	29
"88"	4	2	2	1	1	2	2	4	4	2	2	5	4	1	2	2	4	2	2	2	4	1	2	4	4	2	1	4	4	4	4	5	4	1	1	2	5	4	2	5	2	2	1	4	4	4	4	4	5	5	5	4	5	4	5	4	22	45	31	"M"	16	12	18	46	10	7	17	15	6	10	31
"89"	3	2	2	1	1	1	4	2	5	2	3	2	4	2	3	4	4	2	2	4	3	2	4	4	4	1	2	2	2	4	1	5	4	2	1	2	4	5	4	4	4	5	4	3	3	2	2	4	2	4	2	3	2	5	4	4	29	32	19	"M"	17	12	11	40	12	7	19	15	8	13	36
